seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,4,5,single_layer,3,0.7848481677827381,0.7842632475353423,0.0005849202473958703
0,4,5,single_layer,4,0.7825597127278646,0.7842632475353423,-0.0017035348074776469
0,4,5,single_layer,5,0.7779944283621651,0.7842632475353423,-0.00626881917317712
0,4,5,single_layer,6,0.7815326509021577,0.7842632475353423,-0.0027305966331845344
0,4,5,single_layer,7,0.7876851218087333,0.7842632475353423,0.0034218742733910235
0,4,6,all_layers,-1,0.7621669769287109,0.7842632475353423,-0.02209627060663133
0,4,6,single_layer,0,0.7927464076450893,0.7842632475353423,0.008483160109747034
0,4,6,single_layer,1,0.7672897520519438,0.7842632475353423,-0.016973495483398438
0,4,6,single_layer,2,0.7796810695103237,0.7842632475353423,-0.004582178025018591
0,4,6,single_layer,3,0.7798589070638021,0.7842632475353423,-0.004404340471540147
0,4,6,single_layer,4,0.7752013433547247,0.7842632475353423,-0.009061904180617586
0,4,6,single_layer,5,0.7943070729573568,0.7842632475353423,0.01004382542201454
0,4,6,single_layer,6,0.7784293038504464,0.7842632475353423,-0.00583394368489587
0,4,6,single_layer,7,0.7883573259626117,0.7842632475353423,0.0040940784272693875
0,4,7,all_layers,-1,0.7782547360374814,0.7842632475353423,-0.006008511497860858
0,4,7,single_layer,0,0.7805855160667783,0.7842632475353423,-0.003677731468563983
0,4,7,single_layer,1,0.7748900822230748,0.7842632475353423,-0.009373165312267506
0,4,7,single_layer,2,0.7787640889485677,0.7842632475353423,-0.005499158586774522
0,4,7,single_layer,3,0.7750069754464286,0.7842632475353423,-0.009256272088913664
0,4,7,single_layer,4,0.7826102120535714,0.7842632475353423,-0.0016530354817708703
0,4,7,single_layer,5,0.7899266197567895,0.7842632475353423,0.005663372221447194
0,4,7,single_layer,6,0.7826753343854632,0.7842632475353423,-0.00158791314987905
0,4,7,single_layer,7,0.7839234670003256,0.7842632475353423,-0.00033978053501670935
0,4,8,all_layers,-1,0.7823871430896577,0.7842632475353423,-0.0018761044456845344
0,4,8,single_layer,0,0.8029726119268508,0.7842632475353423,0.0187093643915085
0,4,8,single_layer,1,0.7765274956112816,0.7842632475353423,-0.007735751924060619
0,4,8,single_layer,2,0.7904371534075055,0.7842632475353423,0.006173905872163266
0,4,8,single_layer,3,0.7800444648379371,0.7842632475353423,-0.004218782697405166
