pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
2-5,2,0.17129011523155938,0.03779833420874581,0.13349178386113,0.22029552675407182,0.7797044903789626,0.026264044264006234,0.12195749084154765,0.005326167946415289,0.0,3
2-5,3,0.2584688294501532,0.047728648379681604,0.21074019159589497,0.18406061239674276,0.8159394290067871,0.03037817007492459,0.1933897104528215,0.009568790653868326,0.0,3
2-5,4,0.3420038923384651,0.06019626415911175,0.2818076402421981,0.17587069053232604,0.8241293453276489,0.037568560904926725,0.25917993178443305,0.015332979874478445,2.3098278140264843e-13,3
2-5,5,0.42166303642212394,0.07000985836225843,0.35165318988618394,0.1656650006634156,0.8343350273927096,0.04265454080369737,0.32429786050130455,0.020124870515058912,2.3098278140264843e-13,3
2-5,6,0.4836225736708868,0.09227701501240808,0.39134557001174447,0.19085919193829756,0.8091408316041316,0.06114695895285834,0.3602155087486147,0.027653787107694717,3.4647417210397264e-13,3
2-5,7,0.5042472301967561,0.12224317685006157,0.3820040547658527,0.24088151999459254,0.7591184824603466,0.08810328041750287,0.34786415667760934,0.03192867965452255,9.239311256105937e-13,3
2-6,0,0.036786778223893,0.02956064140039777,0.0072261368826268225,0.8037788310793275,0.19622117044815904,0.028421614614744035,0.0060871100082756984,0.0002137632645104849,0.0,3
2-6,1,0.09420581138323224,0.032069346734455655,0.062136467960145735,0.34051764814951585,0.6594823872266427,0.02628368115614331,0.05635080190878066,0.002122081040094296,0.0,3
2-6,2,0.17850456682462543,0.040727305033850296,0.137777265575197,0.2273822454987924,0.7726177747550875,0.028606649310815902,0.12565660807821485,0.006098594206074874,0.0,3
2-6,3,0.27157090769873726,0.05116460318603213,0.22040631089891705,0.1885120097974687,0.81148801443331,0.03315870617590253,0.2024004128244188,0.011099434531633817,5.774569535066211e-14,3
2-6,4,0.3587639047985985,0.0646267407943332,0.2941371703904772,0.18004291095747282,0.8199571066643639,0.04033229452750039,0.26984271832874845,0.017305873925723726,0.0,3
2-6,5,0.4444557201294672,0.07790057503041768,0.3665551495930505,0.17457236389499295,0.8254276465592368,0.04699395478717864,0.33564853100549613,0.022781480340257523,5.774569535066211e-14,3
2-6,6,0.5072859828434293,0.10022132311548505,0.40706466871594627,0.19756392869400882,0.802436088997173,0.06736433245832958,0.37420767356478973,0.031118243223144895,5.774569535066211e-14,3
2-6,7,0.528688667312501,0.1359469701373388,0.39274171231284977,0.2558437699924087,0.7441562590622969,0.09759872016452609,0.35439345760950963,0.036857620236419496,3.4647417210397264e-13,3
2-7,0,0.03751384514191794,0.030538277020530098,0.006975568343131316,0.813661918359546,0.1863380877844265,0.029788231920628322,0.006225523819762563,0.00022698240539443398,0.0,3
2-7,1,0.09727718148912701,0.03395624316874005,0.06332093902996609,0.34911071393191806,0.6508892933299055,0.028169662233382936,0.057534357858082606,0.002258772895272289,0.0,3
2-7,2,0.17709280999879987,0.04108310833809868,0.13600970875649224,0.23150324443280831,0.7684967946539754,0.02939208159371028,0.12431868059294564,0.006117528688813013,5.774569535066211e-14,3
2-7,3,0.27191634310616386,0.05195041521201058,0.21996593191510158,0.1908371343207692,0.8091628804442833,0.03400519111799816,0.20202070190792995,0.011445016969764044,1.7323708605198632e-13,3
2-7,4,0.368377097069271,0.06754262579811944,0.3008344769477844,0.1833703522827442,0.8166296632836908,0.04251317963713691,0.2758050286580646,0.01840967478023635,5.774569535066211e-14,3
2-7,5,0.4509939504048181,0.08373494280709161,0.3672590142204648,0.18538160812576865,0.8146184065171181,0.050050756997532315,0.33357483243185376,0.02398382541206148,0.0,3
2-7,6,0.5139540623104762,0.10860249021696666,0.4053515858120389,0.21114018699404938,0.7888598398898391,0.07519949972629547,0.371948588462103,0.03353088100751241,1.7323708605198632e-13,3
