seed,pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_values
0,2-4,6,0.45431595189230783,0.08125734754971095,0.3730586086000715,0.17885647028518248,0.8211435390859932,0.05069968601067861,0.3425009364173526,0.023387115271318527,8.661854302599316e-13,172032
0,2-4,7,0.43679202170599074,0.08498881189596086,0.3518032232920329,0.19457500978158368,0.8054250210843716,0.06266958656765166,0.32948399441582815,0.023480600189594997,3.4647417210397264e-13,172032
0,2-5,0,0.03255460375831241,0.02562955447605678,0.006925050612716447,0.7872789564982063,0.21272108437038564,0.024885718311582292,0.0061812156013080054,0.00019210220835659477,0.0,172032
0,2-5,1,0.08885139084997631,0.03044942305201576,0.05840196637880234,0.342700578581026,0.6572994054467062,0.025223707868939356,0.05317625119572594,0.001880529292282604,0.0,172032
0,2-5,2,0.16066243676912217,0.03417706879831496,0.1264853718734923,0.21272594568840422,0.7872740786028063,0.02383621001527423,0.11614451096171424,0.0049488213622853865,0.0,172032
0,2-5,3,0.23659686815171016,0.040208901323023294,0.19638798066547938,0.1699468874509388,0.8300531710316296,0.026883946997778758,0.18306302030881247,0.008675471480403627,0.0,172032
0,2-5,4,0.34909989152635845,0.06336374580860138,0.2857361662955511,0.1815060598602826,0.8184939990850065,0.03881852506172089,0.26119093667893184,0.01620577293492499,0.0,172032
0,2-5,5,0.3922803174881708,0.06093936874752953,0.33134096009390696,0.15534648574196475,0.8446535431997516,0.03672222935018085,0.30712381147202994,0.01784313204033034,3.4647417210397264e-13,172032
0,2-5,6,0.4988768214271182,0.09342436421485174,0.40545246714637395,0.18726940238994502,0.8127306175230016,0.05872119395505814,0.37074928056626094,0.02784783286707742,0.0,172032
0,2-5,7,0.4614166532244001,0.09411799481936864,0.36729865414755686,0.203976155090346,0.7960238356826905,0.07049767531099774,0.34367833251044866,0.027653260954788754,6.929483442079453e-13,172032
0,2-6,0,0.0348111806171281,0.028113690870148794,0.006697489480887141,0.8076052110773873,0.1923947812787419,0.027526487551984332,0.0061102863401174545,0.00021295608963728662,0.0,172032
0,2-6,1,0.0899854444322132,0.030966163036369142,0.05901928529852912,0.3441241328723582,0.6558759104978235,0.025684644423779986,0.05373776526678176,0.0018445768260530063,0.0,172032
0,2-6,2,0.16392984134810312,0.03555889853409359,0.12837094636190505,0.21691534769795012,0.7830846739448178,0.024553297176247553,0.11736534181095305,0.005141396474625383,0.0,172032
0,2-6,3,0.25661056949978783,0.048007591849281675,0.20860298758461363,0.18708345467945103,0.8129165840333249,0.0317314455196971,0.1923268437385559,0.01063720527149382,0.0,172032
0,2-6,4,0.3528174388976324,0.06424100697040558,0.28857643547512235,0.18208002181276725,0.817919988243129,0.04083422677857535,0.26516965741202947,0.01702377324302991,0.0,172032
0,2-6,5,0.4086847248531523,0.06409315906819843,0.3445915721711658,0.15682788019842983,0.8431721354278257,0.03749526753312066,0.31799367495945524,0.018893065729311535,1.7323708605198632e-13,172032
0,2-6,6,0.5109810091200329,0.09982992637725104,0.41115109125773114,0.19536915187742393,0.8046308647865013,0.06400988286449796,0.3753310441970825,0.029150553047657013,0.0,172032
0,2-6,7,0.5032285622188023,0.11446078902199155,0.38876778738839285,0.22745288645246717,0.7725471417485993,0.08466241757074992,0.3589693989072527,0.031236147241933004,1.7323708605198632e-13,172032
0,2-7,0,0.035759876881326945,0.02862086785691125,0.00713900937920525,0.8003625949801988,0.19963741494124354,0.02816915512084961,0.006687295756169728,0.00024960364680737257,0.0,172032
0,2-7,1,0.09774365027745564,0.03390582047757648,0.06383782838072095,0.3468851468236682,0.653114838657146,0.02749721741392499,0.05742922567185901,0.0021579374248782792,0.0,172032
0,2-7,2,0.16783876362301053,0.036725162040619624,0.13111360300154912,0.21881215785829727,0.7811878505971881,0.026525835550966718,0.12091427615710668,0.005613495994891439,0.0,172032
0,2-7,3,0.2607213201976958,0.04766266331786201,0.21305865900857107,0.18281076239457936,0.8171892457702201,0.03150058963469097,0.19689657574608213,0.010344484200080236,1.7323708605198632e-13,172032
0,2-7,4,0.38048831054142546,0.07232205924533662,0.30816625413440524,0.19007695438113228,0.8099230530785355,0.045647262107758296,0.2814914555776687,0.019659594765731266,1.7323708605198632e-13,172032
0,2-7,5,0.43427924315134686,0.07623618983087085,0.35804305757795063,0.17554647391771025,0.8244535358858314,0.04331501254013607,0.3251218909309024,0.021512392198755628,0.0,172032
0,2-7,6,0.5265728405543736,0.11681334887232099,0.4097595044544765,0.22183701831135158,0.7781630059444075,0.07675075956753322,0.36969690095810664,0.03429726546718961,0.0,172032
0,2-7,7,0.5181777079900106,0.1194874175957271,0.3986902918134417,0.23059158229560614,0.7694084204431418,0.0857399311803636,0.36494280043102445,0.032677759372052695,1.5591337744678769e-12,172032
0,2-8,0,0.03753389489083063,0.029834114015102386,0.007699781230517796,0.7948579304619605,0.20514207899055048,0.02944594763574146,0.007311614230275154,0.00029153011772515517,0.0,172032
