host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
4,3,single_layer,5,0.8938893212212456,0.8920087360200428,0.0018805852012028594,3
4,3,single_layer,6,0.8871849605015346,0.8920087360200428,-0.004823775518508174,3
4,3,single_layer,7,0.8908399551633804,0.8920087360200428,-0.001168780856662351,3
4,4,all_layers,-1,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,0,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,1,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,2,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,3,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,4,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,5,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,6,0.8920087360200428,0.8920087360200428,0.0,3
4,4,single_layer,7,0.8920087360200428,0.8920087360200428,0.0,3
4,5,all_layers,-1,0.8810738760327536,0.8920087360200428,-0.010934859987289233,3
4,5,single_layer,0,0.9069611080109127,0.8920087360200428,0.014952371990869925,3
4,5,single_layer,1,0.8983644455198257,0.8920087360200428,0.006355709499782998,3
4,5,single_layer,2,0.8917961726112971,0.8920087360200428,-0.00021256340874568438,3
4,5,single_layer,3,0.8900152236696274,0.8920087360200428,-0.0019935123504154126,3
4,5,single_layer,4,0.8839045327807229,0.8920087360200428,-0.008104203239319818,3
4,5,single_layer,5,0.8934860834999689,0.8920087360200428,0.0014773474799261905,3
4,5,single_layer,6,0.8851410396515377,0.8920087360200428,-0.006867696368505076,3
4,5,single_layer,7,0.8934307703896174,0.8920087360200428,0.0014220343695746651,3
4,6,all_layers,-1,0.8701182168627541,0.8920087360200428,-0.021890519157288568,3
4,6,single_layer,0,0.9007212320963541,0.8920087360200428,0.008712496076311416,3
4,6,single_layer,1,0.8868684617299882,0.8920087360200428,-0.005140274290054554,3
4,6,single_layer,2,0.890397208077567,0.8920087360200428,-0.0016115279424758027,3
4,6,single_layer,3,0.8859119718036954,0.8920087360200428,-0.006096764216347343,3
4,6,single_layer,4,0.8836649031866165,0.8920087360200428,-0.008343832833426323,3
4,6,single_layer,5,0.8991802457779173,0.8920087360200428,0.007171509757874506,3
4,6,single_layer,6,0.8858681936112661,0.8920087360200428,-0.0061405424087766685,3
4,6,single_layer,7,0.8964936089894128,0.8920087360200428,0.004484872969370057,3
4,7,all_layers,-1,0.8923985920255147,0.8920087360200428,0.00038985600547184845,3
4,7,single_layer,0,0.8874992794460721,0.8920087360200428,-0.004509456573970727,3
4,7,single_layer,1,0.8905775887625559,0.8920087360200428,-0.0014311472574869792,3
4,7,single_layer,2,0.8884917365180122,0.8920087360200428,-0.003516999502030623,3
4,7,single_layer,3,0.8872303432888455,0.8920087360200428,-0.00477839273119729,3
4,7,single_layer,4,0.8877744220551991,0.8920087360200428,-0.00423431396484375,3
4,7,single_layer,5,0.8973450736394004,0.8920087360200428,0.005336337619357663,3
4,7,single_layer,6,0.8889312441386874,0.8920087360200428,-0.003077491881355384,3
4,7,single_layer,7,0.8924844227139911,0.8920087360200428,0.0004756866939484479,3
4,8,all_layers,-1,0.8882140205019996,0.8920087360200428,-0.0037947155180431866,3
4,8,single_layer,0,0.9041314200749473,0.8920087360200428,0.012122684054904465,3
4,8,single_layer,1,0.897137929522802,0.8920087360200428,0.0051291935027591995,3
4,8,single_layer,2,0.8906961471315414,0.8920087360200428,-0.001312588888501387,3
4,8,single_layer,3,0.881678959679982,0.8920087360200428,-0.01032977634006079,3
4,8,single_layer,4,0.880361799209837,0.8920087360200428,-0.011646936810205863,3
4,8,single_layer,5,0.9002652849469865,0.8920087360200428,0.008256548926943793,3
4,8,single_layer,6,0.8861849345858134,0.8920087360200428,-0.005823801434229299,3
4,8,single_layer,7,0.8900013575478205,0.8920087360200428,-0.00200737847222221,3
5,1,all_layers,-1,0.9532100435287235,0.8297762189592633,0.12343382456945999,3
5,1,single_layer,0,0.8354007478744264,0.8297762189592633,0.005624528915163111,3
5,1,single_layer,1,0.8318767547607422,0.8297762189592633,0.0021005358014788054,3
5,1,single_layer,2,0.8462677758837502,0.8297762189592633,0.016491556924486932,3
5,1,single_layer,3,0.8565685484144424,0.8297762189592633,0.02679232945517888,3
5,1,single_layer,4,0.8601889231848338,0.8297762189592633,0.030412704225570446,3
5,1,single_layer,5,0.8337920052664621,0.8297762189592633,0.004015786307198639,3
5,1,single_layer,6,0.8242103183080279,0.8297762189592633,-0.0055659006512354114,3
5,1,single_layer,7,0.8082723163423085,0.8297762189592633,-0.021503902616955006,3
5,2,all_layers,-1,0.8329435530162993,0.8297762189592633,0.0031673340570359163,3
5,2,single_layer,0,0.8363064357212612,0.8297762189592633,0.006530216761997794,3
5,2,single_layer,1,0.8332452622670976,0.8297762189592633,0.003469043307834226,3
5,2,single_layer,2,0.8370028904506138,0.8297762189592633,0.007226671491350441,3
5,2,single_layer,3,0.8369636081513905,0.8297762189592633,0.007187389192127099,3
5,2,single_layer,4,0.8281667346046083,0.8297762189592633,-0.001609484354654948,3
5,2,single_layer,5,0.827392790052626,0.8297762189592633,-0.0023834289066374894,3
