seed,pair,layer_id,intersection_size,count,share
0,4-6,4,3,14485,0.44906374007936506
0,4-6,4,4,8766,0.27176339285714285
0,4-6,5,0,132,0.004092261904761905
0,4-6,5,1,2192,0.0679563492063492
0,4-6,5,2,9003,0.2791108630952381
0,4-6,5,3,14013,0.43443080357142855
0,4-6,5,4,6916,0.2144097222222222
0,4-6,6,0,210,0.006510416666666667
0,4-6,6,1,2298,0.07124255952380952
0,4-6,6,2,10133,0.3141431051587302
0,4-6,6,3,13999,0.4339967757936508
0,4-6,6,4,5616,0.17410714285714285
0,4-6,7,0,115,0.0035652281746031745
0,4-6,7,1,2706,0.08389136904761904
0,4-6,7,2,10624,0.32936507936507936
0,4-6,7,3,13516,0.41902281746031744
0,4-6,7,4,5295,0.16415550595238096
0,4-6,-1,0,651,0.0025227864583333335
0,4-6,-1,1,9880,0.0382874503968254
0,4-6,-1,2,49507,0.1918519035218254
0,4-6,-1,3,101142,0.39195033482142855
0,4-6,-1,4,96868,0.3753875248015873
0,4-7,0,0,0,0.0
0,4-7,0,1,21,0.0006510416666666666
0,4-7,0,2,182,0.005642361111111111
0,4-7,0,3,3747,0.11616443452380952
0,4-7,0,4,28306,0.8775421626984127
0,4-7,1,0,0,0.0
0,4-7,1,1,25,0.0007750496031746031
0,4-7,1,2,1072,0.033234126984126984
0,4-7,1,3,8479,0.26286582341269843
0,4-7,1,4,22680,0.703125
0,4-7,2,0,0,0.0
0,4-7,2,1,310,0.00961061507936508
0,4-7,2,2,3144,0.0974702380952381
0,4-7,2,3,11600,0.35962301587301587
0,4-7,2,4,17202,0.5332961309523809
0,4-7,3,0,23,0.0007130456349206349
0,4-7,3,1,683,0.02117435515873016
0,4-7,3,2,4456,0.13814484126984128
0,4-7,3,3,13302,0.41238839285714285
0,4-7,3,4,13792,0.42757936507936506
0,4-7,4,0,63,0.001953125
0,4-7,4,1,926,0.0287078373015873
0,4-7,4,2,6382,0.1978546626984127
0,4-7,4,3,14192,0.4399801587301587
0,4-7,4,4,10693,0.3315042162698413
0,4-7,5,0,77,0.002387152777777778
0,4-7,5,1,1156,0.03583829365079365
0,4-7,5,2,7144,0.2214781746031746
0,4-7,5,3,14704,0.4558531746031746
0,4-7,5,4,9175,0.28444320436507936
0,4-7,6,0,70,0.002170138888888889
0,4-7,6,1,1400,0.043402777777777776
0,4-7,6,2,7774,0.2410094246031746
0,4-7,6,3,14773,0.4579923115079365
0,4-7,6,4,8239,0.2554253472222222
0,4-7,7,0,39,0.001209077380952381
0,4-7,7,1,1603,0.04969618055555555
0,4-7,7,2,8268,0.25632440476190477
0,4-7,7,3,14292,0.44308035714285715
0,4-7,7,4,8054,0.24968998015873015
0,4-7,-1,0,272,0.0010540674603174603
0,4-7,-1,1,6124,0.023732018849206348
0,4-7,-1,2,38422,0.14889477926587302
