seed,pair,layer_id,top_m,overlap_fraction
0,1-2,-1,17,0.7203281377655228
0,1-2,-1,18,0.7391962391148589
0,1-2,-1,19,0.757770688113513
0,1-2,-1,20,0.7760434105282739
0,1-2,-1,21,0.7938510147982805
0,1-2,-1,22,0.8115366485727814
0,1-2,-1,23,0.8291750237232575
0,1-2,-1,24,0.8467315189422123
0,1-2,-1,25,0.8646758742559524
0,1-2,-1,26,0.8821268791971917
0,1-2,-1,27,0.8999673618000441
0,1-2,-1,28,0.9180499918066185
0,1-2,-1,29,0.9364550193281336
0,1-2,-1,30,0.9556958395337302
0,1-2,-1,31,0.9761619743663594
0,1-2,-1,32,1.0
0,1-3,0,1,0.43464781746031744
0,1-3,0,2,0.510711185515873
0,1-3,0,3,0.5544808201058201
0,1-3,0,4,0.5928276909722222
0,1-3,0,5,0.6252852182539682
0,1-3,0,6,0.657205894510582
0,1-3,0,7,0.6794882015306123
0,1-3,0,8,0.7029506138392857
0,1-3,0,9,0.7195939429012346
0,1-3,0,10,0.7367807539682539
0,1-3,0,11,0.7521588654401155
0,1-3,0,12,0.7665421420304233
0,1-3,0,13,0.7823374542124543
0,1-3,0,14,0.7964963329081632
0,1-3,0,15,0.810166583994709
0,1-3,0,16,0.8227868458581349
0,1-3,0,17,0.8353448150093371
0,1-3,0,18,0.8470964919532628
0,1-3,0,19,0.8577792136591479
0,1-3,0,20,0.8692568824404762
0,1-3,0,21,0.8805390211640212
0,1-3,0,22,0.8917114786255411
0,1-3,0,23,0.9021038216011042
0,1-3,0,24,0.9127294146825397
0,1-3,0,25,0.9228125
0,1-3,0,26,0.9315559657356532
0,1-3,0,27,0.9410491530717225
0,1-3,0,28,0.9511176215277778
0,1-3,0,29,0.9616729953475643
0,1-3,0,30,0.9726283482142857
0,1-3,0,31,0.9845610119047619
0,1-3,0,32,1.0
0,1-3,1,1,0.2990141369047619
0,1-3,1,2,0.40142919146825395
0,1-3,1,3,0.462900958994709
0,1-3,1,4,0.5001627604166666
0,1-3,1,5,0.5397011408730159
0,1-3,1,6,0.568307705026455
0,1-3,1,7,0.593608276643991
0,1-3,1,8,0.6170944940476191
0,1-3,1,9,0.6404320987654321
0,1-3,1,10,0.6615296378968254
0,1-3,1,11,0.6808289366883117
