seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,2-4,6,spearman,0.5303263664245605,0.5783834457397461,0.04805707931518555
0,2-4,6,top1_agreement,0.30617559523809523,0.3240327380952381,0.01785714285714285
0,2-4,6,top_pair_overlap,0.1111111111111111,0.17647058823529413,0.06535947712418302
0,2-4,7,coactivation_cosine,0.48994438765230747,0.6003425078086385,0.11039812015633105
0,2-4,7,nestedness,0.5451853918650794,0.6144748263888888,0.06928943452380942
0,2-4,7,spearman,0.5878196358680725,0.6340031623840332,0.04618352651596069
0,2-4,7,top1_agreement,0.3665364583333333,0.4083891369047619,0.0418526785714286
0,2-4,7,top_pair_overlap,0.05263157894736842,0.05263157894736842,0.0
0,2-5,0,coactivation_cosine,0.7581106973070099,0.7958703694992375,0.037759672192227645
0,2-5,0,nestedness,0.9295944940476191,0.9515593998015873,0.021964905753968256
0,2-5,0,spearman,0.9215294122695923,0.9419314861297607,0.020402073860168457
0,2-5,0,top1_agreement,0.6544518849206349,0.6815166170634921,0.027064732142857206
0,2-5,0,top_pair_overlap,0.25,0.25,0.0
0,2-5,1,coactivation_cosine,0.75799980047513,0.7724851079830172,0.014485307507887124
0,2-5,1,nestedness,0.8256603422619048,0.8586309523809523,0.03297061011904756
0,2-5,1,spearman,0.8320167064666748,0.8706327080726624,0.03861600160598755
0,2-5,1,top1_agreement,0.507843501984127,0.5193142361111112,0.011470734126984183
0,2-5,1,top_pair_overlap,0.05263157894736842,0.17647058823529413,0.12383900928792571
0,2-5,2,coactivation_cosine,0.7586943964907311,0.7936276174975996,0.034933221006868465
